,names,scores,logfoldchanges,pvals,pvals_adj
262,DDX39A,14.722552,1.2662435,4.6189428372347696e-49,4.0528218508272217e-47
263,ARMH1,14.704832,2.0714011,6.00199326686432e-49,5.24685359547402e-47
264,MPG,14.694414,2.34431,7.000129635357191e-49,6.096828774292833e-47
265,H1FX,14.691744,5.0199423,7.281499746469814e-49,6.318574945438494e-47
266,PPFIBP2,14.685724,1.4686178,7.957957700908934e-49,6.880281158042255e-47
267,PHB2,14.677034,1.3012872,9.046165342586619e-49,7.792578123396787e-47
268,TENT5C,14.644053,1.3827897,1.4703414170147907e-48,1.26198067148364e-46
269,OCIAD2,14.63963,1.4284024,1.5691953201879537e-48,1.3419462732752272e-46
270,TMEM243,14.596729,1.6059575,2.946445937012623e-48,2.5016173903348536e-46
271,SQSTM1,14.589453,1.563796,3.2781591109181465e-48,2.7732756091398213e-46
272,RAB11B,14.579245,1.4081771,3.8070532290379865e-48,3.209209905892271e-46
273,RIPOR1,14.574546,1.525635,4.078228634715001e-48,3.425566920468974e-46
274,ERH,14.563841,1.5958148,4.770072892420718e-48,3.992483350347737e-46
276,SON,14.526803,1.5983148,8.195669388691845e-48,6.81135156976386e-46
277,GNB1,14.492789,1.331646,1.345657824629463e-47,1.1144407591133057e-45
278,HNRNPK,14.4897,1.4002657,1.4075523804633835e-47,1.1616244348278754e-45
279,SELENOT,14.459154,1.395521,2.1947757101473605e-47,1.8049927207877402e-45
280,IRF8,14.454116,1.9930221,2.361429692970157e-47,1.9353064251102297e-45
281,ERGIC3,14.369925,1.507458,7.991856909217963e-47,6.504544780285227e-45
282,CSNK2B,14.332258,1.3107408,1.375724805356364e-46,1.1158499168668817e-44
283,PGAM1,14.323111,1.5639502,1.569386015356174e-46,1.268569113714102e-44
284,C19orf53,14.320519,1.3479596,1.6290157079188099e-46,1.3122750086692036e-44
285,FCGRT,14.2981,3.1333776,2.2486385682608348e-46,1.8052590519272273e-44
286,APH1A,14.291844,1.2555791,2.460057662444667e-46,1.9682963053112363e-44
287,COX6B1,14.284176,1.4638274,2.7464098329002485e-46,2.189983489390019e-44
288,AKAP13,14.271585,1.3989705,3.290133027891205e-46,2.6147141366099703e-44
289,ARMC8,14.240765,1.7669878,5.1164324637597245e-46,4.05245488060808e-44
290,SRSF11,14.227625,1.4555703,6.174363941464605e-46,4.874030505364183e-44
291,LINC01578,14.226787,1.5819213,6.248746130406908e-46,4.916305163866475e-44
292,TMA7,14.216802,1.6963077,7.207275010994695e-46,5.651605052641455e-44
293,TOPBP1,14.212535,1.8281031,7.660177179823058e-46,5.986859668058398e-44
294,SHMT2,14.195639,1.4169363,9.749379345539762e-46,7.594541276989275e-44
295,SEPTIN7,14.189475,1.5264485,1.0645308074088474e-45,8.265171265549679e-44
297,DDX5,14.178416,2.505699,1.2462821424605912e-45,9.61307104852854e-44
298,COX8A,14.168456,1.2626816,1.436229911935357e-45,1.1042128537918642e-43
299,LSM7,14.144454,1.3649856,2.0207905782719825e-45,1.5485948058101819e-43
